clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp
1305,40.761500000000005,33.7015,1373.7422333333334,3,33.166347919891436,27.200340182699676,55995.79404401668,0.9694464827680356
1245,42.74836666666667,30.134433333333334,1288.2028333333335,3,39.657369540876154,31.733387991724083,55068.56706037223,0.9533935460543401
1185,44.55086666666667,30.5329,1360.2713999999999,3,45.54607192242748,27.91420924803566,60601.26977188,1.049180368537046
1125,46.794533333333334,28.356166666666667,1326.9247333333333,3,52.87604986606536,29.681371915433374,62092.82366479111,1.0750034093569512
1065,49.12086666666667,25.15416666666667,1235.6012333333335,3,60.47609682322612,34.520940483688946,60693.80343573557,1.0507823894833317
1005,51.90033333333333,24.396599999999996,1266.2001666666667,3,69.55651401015675,32.89939032428696,65716.21071672223,1.1377345464570099
945,57.11486666666667,26.179100000000002,1495.2698333333335,3,86.59220602606732,20.76014512736849,85402.13716152225,1.4785539325869734
885,61.6625,23.998433333333335,1479.7919666666667,3,101.44915983490073,21.580374280036217,91247.67214458334,1.5797567715854075
825,66.34066666666666,22.8815,1517.8556333333333,3,116.73256132799028,19.563240412055272,100695.55461908889,1.7433264930419041
765,69.69266666666667,23.108966666666664,1610.5056333333334,3,127.68342423115814,14.653375723898554,112240.43226868889,1.9432011661752866
705,74.14533333333334,22.01863333333333,1628.6399666666666,3,142.2301253708276,13.692370619995742,120756.0532084889,2.090630788517736
645,80.53359999999999,18.919233333333334,1523.5752666666667,3,163.1003617835793,19.260135978892436,122699.00109562666,2.1242687434310397
585,89.03156666666666,18.0396,1606.0015,3,190.8629118797478,14.892066335923193,142984.82961401666,2.4754741409601793
525,97.24626666666666,17.329766666666668,1685.2257666666665,3,217.7000400094175,10.693680698019515,163881.91429880442,2.8372621215333016
465,110.06,16.2451,1787.9341000000002,3,259.5620438910062,5.250787886224972,196780.02704600003,3.4068220364691437
405,124.88363333333332,15.840166666666667,1978.0405,3,307.99031846146033,-4.8236503258915375,247024.88452048332,4.276703447875325
345,144.14993333333334,14.298366666666666,2060.956866666667,3,370.9326245328514,-9.217693939134097,297086.7949328756,5.1434175252182115
285,174.28346666666667,13.0856,2280.6384,3,469.37778930653025,-20.859427378459007,397477.56656511995,6.8814673577600125
225,220.8971333333333,11.832466666666667,2613.7566666666667,3,621.6629543067186,-38.51259105343623,577371.3548975554,9.995940566830113
