clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,avg_clock_mhz,slowdown_pct,energy_saving_pct,edp,norm_edp
2205,79.09179999999999,67.08193333333334,5306.461766666666,3,2094.1085333333335,-0.44019813321753976,-0.007989011964326664,419697.6127568466,0.9956775571126525
2145,62.80136666666667,64.2737,4083.8602666666666,3,2094.4973333333332,-20.94639871267957,23.033714246140324,256472.00602236443,0.6084462066551594
2085,72.7735,65.04393333333333,4736.002,3,2080.2124666666664,-8.393597804673892,10.743154892423924,344655.441547,0.817649845161054
2025,81.83113333333334,61.75733333333333,5053.740266666667,3,2023.4758333333332,3.0080415567849794,4.754915180401776,413553.2935936356,0.9811009655176683
1965,91.86946666666667,59.098533333333336,5429.4845,3,1964.9772333333333,15.644174224639084,-2.3265313296922274,498803.8452899333,1.1833467216893918
1905,91.75336666666665,53.76156666666666,4932.812133333334,3,1905.0,15.498028947926024,7.033981715019289,452602.12036751554,1.0737391871052122
1845,92.69330000000001,51.5331,4776.749433333333,3,1845.0,16.681205667063193,9.975210253556677,442772.6682487967,1.0504201007538876
1785,95.1277,51.30043333333333,4880.047333333333,3,1785.0,19.74559896275876,8.028411105195287,464227.6787111333,1.1013192999765002
1725,103.31670000000001,48.0545,4966.518333333333,3,1725.0,30.053813183285815,6.398739358161132,513124.28468950005,1.2173200865233755
1665,103.60730000000001,46.29236666666667,4796.159433333333,3,1665.0,30.419616950838034,9.609400576208982,496917.1292571967,1.1788707352807466
1605,105.68166666666666,43.2363,4569.406966666666,3,1605.0,33.03080463821384,13.882880569466472,482902.54391561105,1.1456229690969035
1545,112.51273333333334,40.16826666666666,4519.659066666666,3,1545.0,41.629668791920274,14.820452091760428,508519.1953254489,1.2063951158089474
1485,121.87253333333335,37.2875,4545.261466666667,3,1485.0,53.41167190112641,14.337937631001695,553942.5296050489,1.3141560206526595
1425,119.72173333333332,35.661300000000004,4269.439133333333,3,1425.0,50.7042708575912,19.536210622344097,511144.65340383106,1.2126236708598426
1365,123.79720000000002,33.26716666666667,4118.459333333333,3,1365.0,55.834419037908404,22.381644518481135,509853.73378053337,1.2095611333140346
1305,129.08536666666666,31.350733333333334,4046.9638,3,1305.0,62.49109932046431,23.729081817835496,522403.80600972666,1.2393345341601099
1245,126.96856666666667,30.628333333333334,3890.8856666666666,3,1245.0,59.82649706597518,26.67060121998376,494020.17616054445,1.171998093896399
1185,95.14736666666666,27.964066666666668,2679.551,3,1185.0,19.770355125050077,49.49996461892319,254952.2214990333,0.6048407171419163
1065,156.1895,25.979166666666668,4057.7752,3,1065.0,96.60945475601544,23.525325262159203,633781.8796004,1.5035644102850505
1005,161.06553333333332,25.175933333333333,4056.5352333333335,3,1005.0,102.7473465799781,23.548694237236745,653368.010842291,1.5500299385974838
945,179.55450000000002,24.62995,4422.3974,2,945.0,126.02103434602823,16.653489644652364,794061.3539583001,1.8838064479647625
885,182.14913333333334,23.3128,4247.4865666666665,3,885.0,129.28712742500247,19.949938666099232,773675.9969633089,1.8354448613445367
825,185.22203333333334,22.223966666666666,4117.788466666666,3,825.0,133.15525680322415,22.3942879764346,762705.1526325488,1.809417971625145
765,211.42106666666666,21.692433333333337,4588.3103666666675,3,765.0,166.13428329861173,13.526618505851074,970065.4719183913,2.301353140835276
705,214.19093333333333,21.1906,4538.838233333333,3,705.0,169.62095797956147,14.458992804272997,972177.9974466844,2.3063648306648474
645,245.62266666666665,17.4004,4274.2311,3,645.0,209.186843987924,19.445899041705538,1049848.0407316,2.4906268245579666
585,261.3292,16.6099,4340.6568,1,585.0,228.95803830491622,18.194010124415747,1134340.36901856,2.691073795106403
