run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk2865_r3_20260411_104824,2865,2865,2500.9677,4.2076,50.9983,214.5801,data\raw\memory\logs\36_chunk_merge\clk2865_r3_20260411_104824_power.csv
clk2805_r1_20260411_104838,2805,2805,2500.8791,4.2101,51.2144,215.6169,data\raw\memory\logs\36_chunk_merge\clk2805_r1_20260411_104838_power.csv
clk2805_r2_20260411_104849,2805,2805,2505.0000,4.2067,50.3600,211.8504,data\raw\memory\logs\36_chunk_merge\clk2805_r2_20260411_104849_power.csv
clk2805_r3_20260411_104900,2805,2805,2497.1053,4.2062,50.3765,211.8956,data\raw\memory\logs\36_chunk_merge\clk2805_r3_20260411_104900_power.csv
clk2745_r1_20260411_104914,2745,2745,2500.8791,4.2074,51.2634,215.6875,data\raw\memory\logs\36_chunk_merge\clk2745_r1_20260411_104914_power.csv
clk2745_r2_20260411_104926,2745,2745,2497.1053,4.2081,50.7299,213.4774,data\raw\memory\logs\36_chunk_merge\clk2745_r2_20260411_104926_power.csv
clk2745_r3_20260411_104938,2745,2745,2497.0213,4.2077,50.7499,213.5395,data\raw\memory\logs\36_chunk_merge\clk2745_r3_20260411_104938_power.csv
clk2685_r1_20260411_104951,2685,2685,2505.0000,4.2066,51.2796,215.7143,data\raw\memory\logs\36_chunk_merge\clk2685_r1_20260411_104951_power.csv
clk2685_r2_20260411_105003,2685,2685,2501.0938,4.2051,50.2076,211.1271,data\raw\memory\logs\36_chunk_merge\clk2685_r2_20260411_105003_power.csv
clk2685_r3_20260411_105015,2685,2685,2501.0526,4.2070,50.5581,212.6997,data\raw\memory\logs\36_chunk_merge\clk2685_r3_20260411_105015_power.csv
clk2625_r1_20260411_105029,2625,2625,2496.7582,4.2047,51.0059,214.4642,data\raw\memory\logs\36_chunk_merge\clk2625_r1_20260411_105029_power.csv
clk2625_r2_20260411_105040,2625,2625,2501.0106,4.2057,50.6964,213.2118,data\raw\memory\logs\36_chunk_merge\clk2625_r2_20260411_105040_power.csv
clk2625_r3_20260411_105052,2625,2625,2497.1053,4.2039,50.5243,212.4006,data\raw\memory\logs\36_chunk_merge\clk2625_r3_20260411_105052_power.csv
clk2565_r1_20260411_105106,2565,2565,2500.9239,4.2063,50.6653,213.1124,data\raw\memory\logs\36_chunk_merge\clk2565_r1_20260411_105106_power.csv
clk2565_r2_20260411_105117,2565,2565,2497.2680,4.2065,49.8336,209.6247,data\raw\memory\logs\36_chunk_merge\clk2565_r2_20260411_105117_power.csv
clk2565_r3_20260411_105129,2565,2565,2501.0106,4.2087,50.7636,213.6494,data\raw\memory\logs\36_chunk_merge\clk2565_r3_20260411_105129_power.csv
clk2505_r1_20260411_105143,2505,2505,2500.8791,4.2068,51.1780,215.2954,data\raw\memory\logs\36_chunk_merge\clk2505_r1_20260411_105143_power.csv
clk2505_r2_20260411_105154,2505,2505,2497.0213,4.2061,50.8079,213.7024,data\raw\memory\logs\36_chunk_merge\clk2505_r2_20260411_105154_power.csv
clk2505_r3_20260411_105206,2505,2505,2493.0319,4.2092,50.7781,213.7371,data\raw\memory\logs\36_chunk_merge\clk2505_r3_20260411_105206_power.csv
clk2445_r1_20260411_105220,2445,2445,2441.5000,4.2087,49.5338,208.4707,data\raw\memory\logs\36_chunk_merge\clk2445_r1_20260411_105220_power.csv
clk2445_r2_20260411_105231,2445,2445,2438.2979,4.2101,48.7896,205.4075,data\raw\memory\logs\36_chunk_merge\clk2445_r2_20260411_105231_power.csv
clk2445_r3_20260411_105243,2445,2445,2434.9468,4.2074,48.9532,205.9653,data\raw\memory\logs\36_chunk_merge\clk2445_r3_20260411_105243_power.csv
clk2385_r1_20260411_105257,2385,2385,2382.1978,4.2144,47.3187,199.4190,data\raw\memory\logs\36_chunk_merge\clk2385_r1_20260411_105257_power.csv
clk2385_r2_20260411_105308,2385,2385,2379.5745,4.2160,47.0856,198.5134,data\raw\memory\logs\36_chunk_merge\clk2385_r2_20260411_105308_power.csv
clk2385_r3_20260411_105320,2385,2385,2379.5745,4.2129,46.8116,197.2116,data\raw\memory\logs\36_chunk_merge\clk2385_r3_20260411_105320_power.csv
clk2325_r1_20260411_105334,2325,2325,2322.8571,4.2150,45.6960,192.6107,data\raw\memory\logs\36_chunk_merge\clk2325_r1_20260411_105334_power.csv
