run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk1665_r3_20260411_102155,1665,1665,1676.6250,5.5955,30.0830,168.3281,data\raw\memory\logs\34_Element-wise Operations\clk1665_r3_20260411_102155_power.csv
clk1605_r1_20260411_102212,1605,1605,1614.0517,5.5754,29.8985,166.6952,data\raw\memory\logs\34_Element-wise Operations\clk1605_r1_20260411_102212_power.csv
clk1605_r2_20260411_102226,1605,1605,1613.7500,5.5763,29.3588,163.7143,data\raw\memory\logs\34_Element-wise Operations\clk1605_r2_20260411_102226_power.csv
clk1605_r3_20260411_102240,1605,1605,1618.1250,5.5763,29.6405,165.2858,data\raw\memory\logs\34_Element-wise Operations\clk1605_r3_20260411_102240_power.csv
clk1545_r1_20260411_102257,1545,1545,1555.0000,5.5774,29.1844,162.7742,data\raw\memory\logs\34_Element-wise Operations\clk1545_r1_20260411_102257_power.csv
clk1545_r2_20260411_102311,1545,1545,1554.7500,5.5969,28.3617,158.7392,data\raw\memory\logs\34_Element-wise Operations\clk1545_r2_20260411_102311_power.csv
clk1545_r3_20260411_102325,1545,1545,1559.6250,5.5763,28.9097,161.2076,data\raw\memory\logs\34_Element-wise Operations\clk1545_r3_20260411_102325_power.csv
clk1485_r1_20260411_102342,1485,1485,1496.0256,5.5971,28.5291,159.6795,data\raw\memory\logs\34_Element-wise Operations\clk1485_r1_20260411_102342_power.csv
clk1485_r2_20260411_102356,1485,1485,1495.6612,5.5777,27.9794,156.0605,data\raw\memory\logs\34_Element-wise Operations\clk1485_r2_20260411_102356_power.csv
clk1485_r3_20260411_102411,1485,1485,1495.6612,5.5773,28.0512,156.4493,data\raw\memory\logs\34_Element-wise Operations\clk1485_r3_20260411_102411_power.csv
clk1425_r1_20260411_102427,1425,1425,1437.0513,5.5973,28.2445,158.0940,data\raw\memory\logs\34_Element-wise Operations\clk1425_r1_20260411_102427_power.csv
clk1425_r2_20260411_102441,1425,1425,1442.6250,5.5972,27.8668,155.9751,data\raw\memory\logs\34_Element-wise Operations\clk1425_r2_20260411_102441_power.csv
clk1425_r3_20260411_102456,1425,1425,1442.4793,5.5806,27.9587,156.0272,data\raw\memory\logs\34_Element-wise Operations\clk1425_r3_20260411_102456_power.csv
clk1365_r1_20260411_102512,1365,1365,1378.0769,5.5781,27.5476,153.6645,data\raw\memory\logs\34_Element-wise Operations\clk1365_r1_20260411_102512_power.csv
clk1365_r2_20260411_102527,1365,1365,1377.8571,5.4413,27.2837,148.4584,data\raw\memory\logs\34_Element-wise Operations\clk1365_r2_20260411_102527_power.csv
clk1365_r3_20260411_102541,1365,1365,1377.7500,5.5785,27.2310,151.9072,data\raw\memory\logs\34_Element-wise Operations\clk1365_r3_20260411_102541_power.csv
