run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk1665_r1_20260411_104121,1665,1665,1731.4286,0.0092,9.1386,0.0840,data\raw\memory\logs\35_Strided Access\clk1665_r1_20260411_104121_power.csv
clk1665_r2_20260411_104124,1665,1665,1747.0588,0.0099,9.4294,0.0929,data\raw\memory\logs\35_Strided Access\clk1665_r2_20260411_104124_power.csv
clk1665_r3_20260411_104127,1665,1665,1742.5000,0.0101,9.5200,0.0959,data\raw\memory\logs\35_Strided Access\clk1665_r3_20260411_104127_power.csv
clk1605_r1_20260411_104132,1605,1605,1685.7692,0.0097,8.8362,0.0857,data\raw\memory\logs\35_Strided Access\clk1605_r1_20260411_104132_power.csv
clk1605_r2_20260411_104135,1605,1605,1703.4375,0.0095,8.9975,0.0858,data\raw\memory\logs\35_Strided Access\clk1605_r2_20260411_104135_power.csv
clk1605_r3_20260411_104138,1605,1605,1692.5000,0.0093,9.2128,0.0858,data\raw\memory\logs\35_Strided Access\clk1605_r3_20260411_104138_power.csv
clk1545_r1_20260411_104144,1545,1545,1628.5714,0.0094,8.8193,0.0827,data\raw\memory\logs\35_Strided Access\clk1545_r1_20260411_104144_power.csv
clk1545_r2_20260411_104147,1545,1545,1637.3684,0.0101,9.1163,0.0923,data\raw\memory\logs\35_Strided Access\clk1545_r2_20260411_104147_power.csv
clk1545_r3_20260411_104150,1545,1545,1642.5000,0.0102,9.0300,0.0919,data\raw\memory\logs\35_Strided Access\clk1545_r3_20260411_104150_power.csv
clk1485_r1_20260411_104156,1485,1485,1577.1429,0.0094,8.8929,0.0837,data\raw\memory\logs\35_Strided Access\clk1485_r1_20260411_104156_power.csv
clk1485_r2_20260411_104159,1485,1485,1581.7500,0.0097,9.1570,0.0886,data\raw\memory\logs\35_Strided Access\clk1485_r2_20260411_104159_power.csv
clk1485_r3_20260411_104202,1485,1485,1560.8824,0.0096,8.9112,0.0852,data\raw\memory\logs\35_Strided Access\clk1485_r3_20260411_104202_power.csv
clk1425_r1_20260411_104207,1425,1425,1525.7143,0.0097,9.1300,0.0887,data\raw\memory\logs\35_Strided Access\clk1425_r1_20260411_104207_power.csv
clk1425_r2_20260411_104210,1425,1425,1549.4118,0.0099,8.7812,0.0869,data\raw\memory\logs\35_Strided Access\clk1425_r2_20260411_104210_power.csv
clk1425_r3_20260411_104214,1425,1425,1542.5000,0.0097,8.8250,0.0858,data\raw\memory\logs\35_Strided Access\clk1425_r3_20260411_104214_power.csv
clk1365_r1_20260411_104219,1365,1365,1474.2857,0.0096,8.7400,0.0840,data\raw\memory\logs\35_Strided Access\clk1365_r1_20260411_104219_power.csv
clk1365_r2_20260411_104222,1365,1365,1500.0000,0.0102,8.6141,0.0877,data\raw\memory\logs\35_Strided Access\clk1365_r2_20260411_104222_power.csv
clk1365_r3_20260411_104226,1365,1365,1500.0000,0.0098,8.6300,0.0842,data\raw\memory\logs\35_Strided Access\clk1365_r3_20260411_104226_power.csv
clk1305_r1_20260411_104231,1305,1305,1422.8571,0.0097,8.8993,0.0866,data\raw\memory\logs\35_Strided Access\clk1305_r1_20260411_104231_power.csv
clk1305_r2_20260411_104234,1305,1305,1402.0588,0.0100,8.8353,0.0887,data\raw\memory\logs\35_Strided Access\clk1305_r2_20260411_104234_power.csv
clk1305_r3_20260411_104237,1305,1305,1442.5000,0.0097,8.5156,0.0828,data\raw\memory\logs\35_Strided Access\clk1305_r3_20260411_104237_power.csv
clk1245_r1_20260411_104242,1245,1245,1371.4286,0.0098,8.6386,0.0846,data\raw\memory\logs\35_Strided Access\clk1245_r1_20260411_104242_power.csv
clk1245_r2_20260411_104245,1245,1245,1343.3333,0.0104,8.7456,0.0911,data\raw\memory\logs\35_Strided Access\clk1245_r2_20260411_104245_power.csv
clk1245_r3_20260411_104248,1245,1245,1401.1765,0.0098,8.4618,0.0828,data\raw\memory\logs\35_Strided Access\clk1245_r3_20260411_104248_power.csv
clk1185_r1_20260411_104254,1185,1185,1320.0000,0.0097,8.5121,0.0828,data\raw\memory\logs\35_Strided Access\clk1185_r1_20260411_104254_power.csv
clk1185_r2_20260411_104257,1185,1185,1342.5000,0.0098,8.4222,0.0825,data\raw\memory\logs\35_Strided Access\clk1185_r2_20260411_104257_power.csv
clk1185_r3_20260411_104300,1185,1185,1296.1765,0.0098,8.2953,0.0816,data\raw\memory\logs\35_Strided Access\clk1185_r3_20260411_104300_power.csv
clk1065_r1_20260411_104305,1065,1065,1217.1429,0.0099,8.2721,0.0815,data\raw\memory\logs\35_Strided Access\clk1065_r1_20260411_104305_power.csv
clk1065_r2_20260411_104308,1065,1065,1198.1250,0.0097,8.3250,0.0812,data\raw\memory\logs\35_Strided Access\clk1065_r2_20260411_104308_power.csv
clk1065_r3_20260411_104311,1065,1065,1252.9412,0.0097,8.0524,0.0783,data\raw\memory\logs\35_Strided Access\clk1065_r3_20260411_104311_power.csv
clk1005_r1_20260411_104316,1005,1005,1165.7143,0.0103,8.6421,0.0892,data\raw\memory\logs\35_Strided Access\clk1005_r1_20260411_104316_power.csv
clk1005_r2_20260411_104319,1005,1005,1192.5000,0.0104,8.2694,0.0857,data\raw\memory\logs\35_Strided Access\clk1005_r2_20260411_104319_power.csv
clk1005_r3_20260411_104323,1005,1005,1192.5000,0.0099,8.2839,0.0819,data\raw\memory\logs\35_Strided Access\clk1005_r3_20260411_104323_power.csv
clk945_r1_20260411_104328,945,945,1114.2857,0.0102,8.6014,0.0879,data\raw\memory\logs\35_Strided Access\clk945_r1_20260411_104328_power.csv
clk945_r2_20260411_104331,945,945,1076.6667,0.0115,8.1356,0.0932,data\raw\memory\logs\35_Strided Access\clk945_r2_20260411_104331_power.csv
clk945_r3_20260411_104334,945,945,1132.1053,0.0101,8.0432,0.0809,data\raw\memory\logs\35_Strided Access\clk945_r3_20260411_104334_power.csv
clk885_r1_20260411_104340,885,885,1062.8571,0.0102,8.2650,0.0843,data\raw\memory\logs\35_Strided Access\clk885_r1_20260411_104340_power.csv
clk885_r2_20260411_104343,885,885,1092.5000,0.0107,7.9472,0.0849,data\raw\memory\logs\35_Strided Access\clk885_r2_20260411_104343_power.csv
clk885_r3_20260411_104346,885,885,1016.0526,0.0110,8.3468,0.0917,data\raw\memory\logs\35_Strided Access\clk885_r3_20260411_104346_power.csv
clk825_r1_20260411_104351,825,825,1025.7692,0.0108,8.1892,0.0884,data\raw\memory\logs\35_Strided Access\clk825_r1_20260411_104351_power.csv
clk825_r2_20260411_104354,825,825,1031.0526,0.0111,8.3195,0.0927,data\raw\memory\logs\35_Strided Access\clk825_r2_20260411_104354_power.csv
clk825_r3_20260411_104357,825,825,1042.5000,0.0111,8.1717,0.0907,data\raw\memory\logs\35_Strided Access\clk825_r3_20260411_104357_power.csv
clk765_r1_20260411_104403,765,765,960.0000,0.0108,8.1564,0.0881,data\raw\memory\logs\35_Strided Access\clk765_r1_20260411_104403_power.csv
clk765_r2_20260411_104406,765,765,925.5882,0.0110,8.1906,0.0897,data\raw\memory\logs\35_Strided Access\clk765_r2_20260411_104406_power.csv
clk765_r3_20260411_104409,765,765,925.5882,0.0119,8.2176,0.0975,data\raw\memory\logs\35_Strided Access\clk765_r3_20260411_104409_power.csv
clk705_r1_20260411_104414,705,705,895.0000,0.0102,8.2720,0.0845,data\raw\memory\logs\35_Strided Access\clk705_r1_20260411_104414_power.csv
clk705_r2_20260411_104417,705,705,930.0000,0.0116,8.1489,0.0944,data\raw\memory\logs\35_Strided Access\clk705_r2_20260411_104417_power.csv
clk705_r3_20260411_104420,705,705,855.0000,0.0112,8.1132,0.0905,data\raw\memory\logs\35_Strided Access\clk705_r3_20260411_104420_power.csv
clk645_r1_20260411_104425,645,645,857.1429,0.0109,8.2207,0.0892,data\raw\memory\logs\35_Strided Access\clk645_r1_20260411_104425_power.csv
clk645_r2_20260411_104428,645,645,810.0000,0.0107,8.0311,0.0857,data\raw\memory\logs\35_Strided Access\clk645_r2_20260411_104428_power.csv
clk645_r3_20260411_104431,645,645,801.3158,0.0110,8.0889,0.0891,data\raw\memory\logs\35_Strided Access\clk645_r3_20260411_104431_power.csv
clk585_r1_20260411_104436,585,585,805.7143,0.0127,8.5129,0.1078,data\raw\memory\logs\35_Strided Access\clk585_r1_20260411_104436_power.csv
clk585_r2_20260411_104439,585,585,756.6667,0.0117,8.0911,0.0947,data\raw\memory\logs\35_Strided Access\clk585_r2_20260411_104439_power.csv
clk585_r3_20260411_104442,585,585,766.7647,0.0118,8.1276,0.0960,data\raw\memory\logs\35_Strided Access\clk585_r3_20260411_104442_power.csv
clk525_r1_20260411_104447,525,525,754.2857,0.0130,8.2371,0.1067,data\raw\memory\logs\35_Strided Access\clk525_r1_20260411_104447_power.csv
clk525_r2_20260411_104450,525,525,703.3333,0.0129,8.2933,0.1074,data\raw\memory\logs\35_Strided Access\clk525_r2_20260411_104450_power.csv
clk525_r3_20260411_104453,525,525,792.5000,0.0129,8.0200,0.1034,data\raw\memory\logs\35_Strided Access\clk525_r3_20260411_104453_power.csv
