run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk2085_r1_20260411_094707,2085,2085,2086.0843,3.8026,33.4748,127.2930,data\raw\memory\logs\33_Large Tensor Copy\clk2085_r1_20260411_094707_power.csv
clk2085_r2_20260411_094718,2085,2085,2086.0345,3.8038,32.9628,125.3850,data\raw\memory\logs\33_Large Tensor Copy\clk2085_r2_20260411_094718_power.csv
clk2085_r3_20260411_094728,2085,2085,2086.0465,3.8044,33.2430,126.4708,data\raw\memory\logs\33_Large Tensor Copy\clk2085_r3_20260411_094728_power.csv
clk2025_r1_20260411_094741,2025,2025,2027.5301,3.8026,32.3577,123.0430,data\raw\memory\logs\33_Large Tensor Copy\clk2025_r1_20260411_094741_power.csv
clk2025_r2_20260411_094751,2025,2025,2028.6207,3.8026,32.0939,122.0413,data\raw\memory\logs\33_Large Tensor Copy\clk2025_r2_20260411_094751_power.csv
clk2025_r3_20260411_094802,2025,2025,2027.4138,3.8038,31.8930,121.3145,data\raw\memory\logs\33_Large Tensor Copy\clk2025_r3_20260411_094802_power.csv
clk1965_r1_20260411_094815,1965,1965,1968.9759,3.8044,31.9043,121.3777,data\raw\memory\logs\33_Large Tensor Copy\clk1965_r1_20260411_094815_power.csv
clk1965_r2_20260411_094825,1965,1965,1970.6897,3.8034,31.4734,119.7071,data\raw\memory\logs\33_Large Tensor Copy\clk1965_r2_20260411_094825_power.csv
clk1965_r3_20260411_094836,1965,1965,1970.6250,3.8048,31.4330,119.5959,data\raw\memory\logs\33_Large Tensor Copy\clk1965_r3_20260411_094836_power.csv
clk1905_r1_20260411_094849,1905,1905,1910.2941,3.8040,30.5445,116.1912,data\raw\memory\logs\33_Large Tensor Copy\clk1905_r1_20260411_094849_power.csv
clk1905_r2_20260411_094900,1905,1905,1910.1724,3.8044,30.4593,115.8797,data\raw\memory\logs\33_Large Tensor Copy\clk1905_r2_20260411_094900_power.csv
clk1905_r3_20260411_094911,1905,1905,1910.1724,3.8046,30.3177,115.3481,data\raw\memory\logs\33_Large Tensor Copy\clk1905_r3_20260411_094911_power.csv
clk1845_r1_20260411_094923,1845,1845,1851.8675,3.8028,30.7627,116.9848,data\raw\memory\logs\33_Large Tensor Copy\clk1845_r1_20260411_094923_power.csv
clk1845_r2_20260411_094934,1845,1845,1854.8276,3.8047,30.4876,115.9976,data\raw\memory\logs\33_Large Tensor Copy\clk1845_r2_20260411_094934_power.csv
